date,gdp,gdp_yoy,orders,employment,consumer_sentiment,unemploy_claims,bus_outlook,auto_sales,construction,itrade,wtrade
1985-12-31,4444.1,4.2,,324070.0,91.06666666666668,5131000.0,13.133333333333333,44.518,,,
1986-03-31,4507.9,4.1,,326204.0,95.53333333333335,4851000.0,18.733333333333334,45.592,,,
1986-06-30,4545.3,3.7,,327617.0,96.76666666666667,4955000.0,2.6333333333333333,48.071,,,
1986-09-30,4607.7,3.1,,329910.0,94.83333333333333,5067000.0,9.7,54.522000000000006,,,
1986-12-31,4657.6,2.9,,331476.0,92.03333333333335,4782000.0,16.133333333333333,47.694,,,
1987-03-31,4722.2,2.7,,333618.0,90.46666666666665,4456000.0,6.900000000000001,42.822,,,
1987-06-30,4806.2,3.4,,336474.0,91.8,4289000.0,15.666666666666666,45.643,,,
1987-09-30,4884.6,3.3,,338600.0,93.89999999999999,4144000.0,23.96666666666667,48.866,,,
1987-12-31,5008.0,4.5,,340580.0,86.39999999999999,4002000.0,22.933333333333334,44.446,,,
1988-03-31,5073.4,4.2,,342280.0,92.33333333333333,4175000.0,11.533333333333333,48.778,,,
1988-06-30,5190.0,4.5,,343869.0,93.56666666666666,4049000.0,20.666666666666668,47.34,,,
1988-09-30,5282.8,4.2,,345698.0,96.03333333333335,4085000.0,21.5,46.136,,,
1988-12-31,5399.5,3.8,,347842.0,93.0,4085000.0,25.7,46.993,,,
1989-03-31,5511.3,4.3,,350506.0,95.86666666666667,3662000.0,22.099999999999998,45.025,,,
1989-06-30,5612.5,3.7,,351614.0,90.93333333333334,4189000.0,-4.566666666666666,45.675,,,
1989-09-30,5695.4,3.9,,352481.0,92.46666666666665,4726000.0,-10.6,46.902,,,
1989-12-31,5747.2,2.7,,353323.0,91.76666666666667,4576000.0,-4.433333333333334,40.501,,,
1990-03-31,5872.7,2.8,,357343.0,91.26666666666667,4603000.0,-17.133333333333336,45.157,,,
1990-06-30,5960.0,2.4,,356986.0,90.93333333333334,4680000.0,-11.366666666666667,42.452,,,
1990-09-30,6015.1,1.7,,356136.0,79.13333333333334,4975000.0,-26.566666666666666,42.238,,,
1990-12-31,6004.7,0.6,,355083.0,65.13333333333334,5763000.0,-37.46666666666667,39.841,,,
1991-03-31,6035.2,-1.0,,353347.0,74.96666666666667,6188000.0,-21.900000000000002,37.086,,,
1991-06-30,6126.9,-0.5,,353188.0,80.73333333333333,5800000.0,3.466666666666667,37.244,,,
1991-09-30,6205.9,-0.1,,352980.0,82.63333333333334,5529000.0,22.3,38.644,,,
1991-12-31,6264.5,1.2,,353036.0,71.86666666666666,5745000.0,-2.6666666666666665,37.451,,,
1992-03-31,6363.1,2.9,,353875.0,70.76666666666667,5685000.0,4.466666666666667,38.342,,-5498.0,432492.0
1992-06-30,6470.8,3.2,,355220.0,78.93333333333334,5435000.0,17.333333333333332,39.191,,-9852.0,435370.0
1992-09-30,6566.6,3.7,,356259.0,76.1,5475000.0,21.766666666666666,39.104,,-10766.0,445486.0
1992-12-31,6680.8,4.4,,356501.0,83.2,4694000.0,12.933333333333332,40.657,,-13091.0,447546.0
1993-03-31,6729.5,3.3,,357892.0,87.26666666666667,4485000.0,27.2,39.752,,-14244.0,455866.0
1993-06-30,6808.9,2.8,,359879.0,82.46666666666665,4508000.0,13.866666666666667,43.536,,-17743.0,462075.0
1993-09-30,6882.1,2.3,,361877.0,77.39999999999999,4474000.0,1.2666666666666666,42.025,,-18994.0,464991.0
1993-12-31,7013.7,2.6,,363456.0,84.03333333333335,4405000.0,23.066666666666663,44.797,,-19329.0,464889.0
1994-03-31,7115.7,3.4,,365982.0,93.0,4533000.0,22.733333333333334,46.2,,-21918.0,475183.0
1994-06-30,7246.9,4.2,,367788.0,92.2,4516000.0,21.3,45.699,,-23995.0,483972.0
1994-09-30,7331.1,4.3,,369735.0,90.73333333333333,4377000.0,18.233333333333334,45.507999999999996,,-25352.0,500848.0
1994-12-31,7455.3,4.1,,373349.0,93.13333333333333,4595000.0,24.7,47.368,,-27229.0,516913.0
1995-03-31,7522.3,3.5,,374546.0,94.33333333333333,4046000.0,6.666666666666667,44.918,,-27849.0,528396.0
1995-06-30,7581.0,2.4,,373888.0,91.66666666666667,4697000.0,-13.466666666666667,44.591,,-29322.0,536956.0
1995-09-30,7683.1,2.7,,374801.0,93.16666666666667,5092000.0,2.3333333333333335,45.406,,-20316.0,543528.0
1995-12-31,7772.6,2.2,,375664.0,89.8,4819000.0,15.6,46.503,,-18899.0,554788.0
1996-03-31,7868.5,2.6,,376626.0,90.5,4937000.0,-4.466666666666666,46.443,,-23540.0,557218.0
1996-06-30,8032.8,4.0,,378840.0,91.5,4526000.0,20.633333333333336,46.715,,-25463.0,564510.0
1996-09-30,8131.4,4.1,,381655.0,94.89999999999999,4378000.0,18.733333333333334,46.094,,-30684.0,574437.0
1996-12-31,8259.8,4.4,,383521.0,97.53333333333335,4452000.0,9.133333333333333,46.203,,-24378.0,579835.0
1997-03-31,8362.7,4.3,,385487.0,99.03333333333335,4236000.0,14.366666666666667,46.769000000000005,,-29428.0,591103.0
1997-06-30,8518.8,4.3,,388019.0,103.03333333333335,4229000.0,8.533333333333333,44.67,,-23634.0,591750.0
1997-09-30,8662.8,4.7,,389851.0,105.83333333333333,4193000.0,18.833333333333332,46.812,,-25045.0,595780.0
1997-12-31,8765.9,4.5,,391511.0,104.96666666666665,4066000.0,18.233333333333334,47.73,,-30164.0,598430.0
1998-03-31,8866.5,4.9,,392347.0,107.83333333333333,4142000.0,14.133333333333333,45.426,,-35220.0,604267.0
1998-06-30,8969.7,4.1,,393778.0,106.93333333333334,4152000.0,15.333333333333334,49.751000000000005,,-41389.0,605503.0
1998-09-30,9121.1,4.1,,394705.0,103.5,4111000.0,1.5000000000000007,45.777,,-44797.0,605211.0
1998-12-31,9294.0,4.9,,396881.0,100.2,4081000.0,1.133333333333333,50.658,,-44733.0,611331.0
1999-03-31,9411.7,4.8,,398830.0,105.89999999999999,4048000.0,11.066666666666668,50.522000000000006,,-51240.0,620396.0
1999-06-30,9526.2,4.7,,399644.0,106.23333333333333,3918000.0,13.166666666666666,51.839,,-61503.0,641441.0
1999-09-30,9686.6,4.8,,400712.0,105.89999999999999,3811000.0,12.5,52.991,,-69336.0,657376.0
1999-12-31,9900.2,4.8,,402825.0,105.26666666666667,3693000.0,17.03333333333333,53.626000000000005,,-73730.0,677782.0
2000-03-31,10002.2,4.2,,409858.0,110.13333333333333,3716000.0,15.033333333333331,56.379000000000005,,-85261.0,690683.0
2000-06-30,10247.7,5.2,,410840.0,108.76666666666667,3651000.0,8.833333333333334,53.478,,-89554.0,702995.0
2000-09-30,10318.2,4.0,,410086.0,107.46666666666665,4227000.0,9.166666666666666,53.501,,-96344.0,708091.0
2000-12-31,10435.7,2.9,,412024.0,103.93333333333334,4271000.0,0.36666666666666653,50.370000000000005,,-98525.0,715345.0
2001-03-31,10470.2,2.2,,413173.0,92.26666666666667,4781000.0,-28.933333333333334,52.726,,-97313.0,710639.0
2001-06-30,10599.0,1.0,,411264.0,91.0,5151000.0,-9.866666666666667,51.212,,-86766.0,697450.0
2001-09-30,10598.0,0.5,,410158.0,88.56666666666666,5359000.0,-12.966666666666669,49.176,,-88214.0,695218.0
2001-12-31,10660.5,0.2,,408677.0,85.13333333333334,5797000.0,-17.433333333333334,56.551,,-88080.0,682611.0
2002-03-31,10783.5,1.3,,408316.0,93.13333333333333,5307000.0,11.299999999999999,50.934,79293.0,-93340.0,688930.0
2002-06-30,10887.5,1.3,,409080.0,94.10000000000001,5289000.0,14.366666666666665,50.818,71544.0,-102722.0,706378.0
2002-09-30,10984.0,2.1,,410420.0,87.26666666666665,5150000.0,2.966666666666667,53.260999999999996,63095.0,-106387.0,718289.0
2002-12-31,11061.4,2.0,,409955.0,83.83333333333333,5248000.0,2.3333333333333335,50.644999999999996,62296.0,-118218.0,720902.0
2003-03-31,11174.1,1.7,,412333.0,79.96666666666667,5361000.0,0.0,49.289,60292.0,-125043.0,736229.0
2003-06-30,11312.8,2.0,,412967.0,89.26666666666667,5552000.0,-1.2,50.234,65354.0,-122779.0,729424.0
2003-09-30,11566.7,3.2,,412632.0,89.3,5229000.0,16.166666666666668,52.665000000000006,65465.0,-123055.0,744999.0
2003-12-31,11772.2,4.3,,414819.0,91.96666666666665,4776000.0,27.2,51.409,66279.0,-125365.0,766772.0
2004-03-31,11923.4,4.3,,415467.0,98.0,4612000.0,31.133333333333336,50.974000000000004,65440.0,-135951.0,795278.0
2004-06-30,12112.8,4.2,,416706.0,93.33333333333333,4470000.0,30.599999999999998,51.257,64437.0,-149004.0,821878.0
2004-09-30,12305.3,3.5,,418616.0,95.60000000000001,4427000.0,26.433333333333337,52.341,68199.0,-156939.0,835624.0
2004-12-31,12527.2,3.4,,420088.0,93.86666666666667,4286000.0,23.833333333333332,52.977999999999994,81414.0,-168943.0,862800.0
2005-03-31,12767.3,3.9,,421284.0,94.06666666666666,4292000.0,16.566666666666666,51.188,84553.0,-167418.0,882157.0
2005-06-30,12922.7,3.6,,424577.0,90.2,4227000.0,11.066666666666668,53.652,82882.0,-171504.0,892798.0
2005-09-30,13142.6,3.4,,426861.0,87.5,4416000.0,8.799999999999999,55.480000000000004,86255.0,-181929.0,920389.0
2005-12-31,13324.2,3.0,,427799.0,82.43333333333334,4612000.0,9.333333333333334,49.034,89160.0,-195694.0,948211.0
2006-03-31,13599.2,3.2,,430348.0,88.93333333333334,3553000.0,11.799999999999999,52.112,90980.0,-191670.0,963391.0
2006-06-30,13753.4,3.0,,432203.0,83.8,4071000.0,13.199999999999998,50.756,97809.0,-191219.0,984090.0
2006-09-30,13870.2,2.3,,433642.0,84.03333333333335,4432000.0,5.233333333333333,51.093999999999994,103457.0,-200281.0,998842.0
2006-12-31,14039.6,2.6,,436818.0,92.46666666666665,4187000.0,1.6666666666666667,50.629,98495.0,-180360.0,999691.0
